date,open,high,low,close,volume,amount,outstanding_share,turnover
2020-07-06,35.64,36.62,35.64,36.5,2133636.0,39446653.0,180000000.0,0.011853533333333333
2020-07-07,36.58,37.07,36.21,36.43,2044810.0,38108288.0,180000000.0,0.011360055555555556
2020-07-08,36.43,36.84,36.07,36.72,1658833.0,30798921.0,180000000.0,0.009215738888888889
2020-07-09,36.7,37.6,36.7,37.27,1548614.0,29276909.0,180000000.0,0.008603411111111112
2020-07-10,36.9,36.96,36.15,36.29,2702665.0,50381985.0,180000000.0,0.015014805555555556
2020-07-13,36.5,37.62,36.48,37.35,2135914.0,40405523.0,180000000.0,0.01186618888888889
2020-07-14,37.37,38.06,36.76,37.35,1969595.0,37467730.0,180000000.0,0.010942194444444444
2020-07-15,37.37,37.68,36.54,36.72,1541918.0,29040187.0,180000000.0,0.00856621111111111
2020-07-16,36.7,36.96,35.5,35.62,1668415.0,30805538.0,180000000.0,0.009268972222222222
2020-07-17,35.72,35.96,35.35,35.7,924803.0,16797297.0,180000000.0,0.005137794444444444
2020-07-20,35.86,37.17,35.86,37.05,1563285.0,29289219.0,180000000.0,0.008684916666666667
2020-07-21,37.07,37.27,36.76,37.19,999689.0,18866748.0,180000000.0,0.005553827777777778
2020-07-22,37.19,38.25,36.52,37.13,2041501.0,39195787.0,180000000.0,0.011341672222222222
2020-07-23,36.76,37.07,35.92,36.68,1472372.0,27368999.0,180000000.0,0.008179844444444445
2020-07-24,36.33,37.11,35.76,36.62,1949279.0,36293002.0,180000000.0,0.010829327777777778
2020-07-27,37.01,37.01,35.62,35.88,1254762.0,22989551.0,180000000.0,0.0069709
2020-07-28,36.05,36.05,35.72,35.97,638260.0,11679821.0,180000000.0,0.003545888888888889
2020-07-29,36.11,36.27,35.64,36.27,771916.0,14171387.0,180000000.0,0.0042884222222222225
2020-07-30,36.11,36.56,36.07,36.39,935306.0,17320120.0,180000000.0,0.0051961444444444446
2020-07-31,36.31,36.68,36.13,36.58,936105.0,17386964.0,180000000.0,0.005200583333333333
2020-08-03,36.58,37.41,36.58,37.01,1712804.0,32262022.0,180000000.0,0.009515577777777777
2020-08-04,37.01,37.45,36.94,37.03,1296470.0,24530156.0,180000000.0,0.007202611111111111
2020-08-05,36.96,37.41,36.5,37.29,1668449.0,31436423.0,180000000.0,0.009269161111111111
2020-08-06,37.19,37.54,36.62,36.96,1222360.0,23003471.0,180000000.0,0.006790888888888889
2020-08-07,36.92,36.96,35.72,36.39,1270685.0,23503475.0,180000000.0,0.007059361111111111
2020-08-10,36.31,37.03,36.31,36.88,928000.0,17399439.0,180000000.0,0.005155555555555556
2020-08-11,37.05,37.13,36.19,36.21,1162280.0,21696029.0,180000000.0,0.006457111111111111
2020-08-12,36.23,36.56,35.8,36.37,1004140.0,18469087.0,180000000.0,0.005578555555555555
2020-08-13,36.39,37.41,36.15,37.27,2111634.0,39904249.0,180000000.0,0.0117313
2020-08-14,37.54,38.0,37.01,37.35,1751711.0,33433894.0,180000000.0,0.009731727777777777
2020-08-17,37.51,37.9,37.09,37.66,1546810.0,29701576.0,180000000.0,0.008593388888888888
2020-08-18,37.56,38.23,37.37,38.07,1791596.0,34516605.0,180000000.0,0.009953311111111111
2020-08-19,38.07,38.55,37.76,37.84,1586456.0,30870690.0,180000000.0,0.008813644444444444
2020-08-20,37.78,38.51,37.29,37.53,1504560.0,29041940.0,180000000.0,0.008358666666666667
2020-08-21,37.6,38.04,37.27,37.47,1097064.0,21008049.0,180000000.0,0.0060948
2020-08-24,37.58,37.98,37.33,37.49,1240778.0,23763072.0,180000000.0,0.006893211111111111
2020-08-25,37.47,37.8,37.09,37.62,830541.0,15896355.0,180000000.0,0.004614116666666667
2020-08-26,37.62,38.11,36.7,36.84,1886881.0,35942962.0,180000000.0,0.010482672222222222
2020-08-27,36.48,36.9,36.03,36.54,1905465.0,35286883.0,180000000.0,0.010585916666666667
2020-08-28,36.41,36.66,36.03,36.54,1492914.0,27621501.0,180000000.0,0.008293966666666666
2020-08-31,36.52,37.0,36.48,36.92,1578434.0,29612910.0,180000000.0,0.008769077777777778
2020-09-01,36.9,37.49,36.7,37.43,1709423.0,32402576.0,180000000.0,0.009496794444444444
2020-09-02,37.47,37.84,37.09,37.8,1434694.0,27481363.0,180000000.0,0.007970522222222222
2020-09-03,37.84,38.02,37.49,37.82,1157290.0,22242144.0,180000000.0,0.006429388888888889
2020-09-04,37.78,38.17,37.47,37.78,1206392.0,23263455.0,180000000.0,0.006702177777777778
2020-09-07,37.72,38.25,37.51,37.96,2014041.0,38833828.0,180000000.0,0.011189116666666667
2020-09-08,37.96,38.25,37.45,38.06,1174082.0,22641985.0,180000000.0,0.006522677777777778
2020-09-09,37.88,38.06,36.9,37.01,1288875.0,24548138.0,180000000.0,0.0071604166666666665
2020-09-10,37.13,37.47,35.78,35.92,1672740.0,30992391.0,180000000.0,0.009293
2020-09-11,35.64,35.97,35.44,35.9,659439.0,11987563.0,180000000.0,0.00366355
2020-09-14,35.74,36.09,35.48,35.8,765440.0,13961586.0,180000000.0,0.004252444444444444
2020-09-15,35.76,35.92,34.86,35.33,1102861.0,19769874.0,180000000.0,0.006127005555555555
2020-09-16,35.15,35.29,34.95,35.29,455848.0,8157501.0,180000000.0,0.002532488888888889
